transaction_id,event_id,timestamp,booth_id,item,item_category,price,quantity,payment_type
TX000063,EVT0001,3/1/25 20:05,BTH007,Whiskey Shot,Alcohol,9,1,Card
TX000065,EVT0001,3/1/25 20:05,BTH008,Beer - Lager,Alcohol,10,2,Card
TX000259,EVT0001,3/1/25 20:05,BTH009,Kombucha,Drink,6,2,Card
TX000016,EVT0001,3/1/25 20:06,BTH013,Beer - Lager,Alcohol,10,2,Card
TX000068,EVT0001,3/1/25 20:06,BTH007,Whiskey Shot,Alcohol,9,1,Cash
TX000028,EVT0001,3/1/25 20:07,BTH005,Whiskey Shot,Alcohol,13,1,Card
TX000085,EVT0001,3/1/25 20:07,BTH010,Whiskey Shot,Alcohol,13,2,Cash
TX000089,EVT0001,3/1/25 20:07,BTH006,Energy Drink,Drink,5,2,Card
TX000276,EVT0001,3/1/25 20:09,BTH010,Popcorn,Snack,6,3,Card
TX000061,EVT0001,3/1/25 20:10,BTH004,Beer - Lager,Alcohol,10,1,Card
TX000167,EVT0001,3/1/25 20:10,BTH013,Beer - Lager,Alcohol,10,1,Cash
TX000128,EVT0001,3/1/25 20:11,BTH004,Hard Seltzer,Alcohol,8,1,Card
TX000178,EVT0001,3/1/25 20:12,BTH002,Energy Drink,Drink,5,1,Cash
TX000197,EVT0001,3/1/25 20:12,BTH010,Nachos,Snack,9,2,Card
TX000037,EVT0001,3/1/25 20:13,BTH011,Whiskey Shot,Alcohol,9,1,Cash
TX000109,EVT0001,3/1/25 20:13,BTH008,Kombucha,Drink,6,2,Cash
TX000160,EVT0001,3/1/25 20:13,BTH003,Hard Seltzer,Alcohol,8,2,Card
TX000188,EVT0001,3/1/25 20:13,BTH007,Sliders,Food,14,1,Cash
TX000038,EVT0001,3/1/25 20:14,BTH003,Soft Drink,Drink,4,1,Cash
TX000138,EVT0001,3/1/25 20:15,BTH015,Nachos,Snack,9,2,Card
TX000185,EVT0001,3/1/25 20:15,BTH008,Soft Drink,Drink,4,1,Cash
TX000196,EVT0001,3/1/25 20:16,BTH010,Whiskey Shot,Alcohol,9,1,Card
TX000241,EVT0001,3/1/25 20:16,BTH004,Beer - Lager,Alcohol,10,1,Cash
TX000251,EVT0001,3/1/25 20:16,BTH005,Popcorn,Snack,6,1,Cash
TX000013,EVT0001,3/1/25 20:17,BTH010,Kombucha,Drink,6,3,Cash
TX000099,EVT0001,3/1/25 20:17,BTH002,Popcorn,Snack,6,1,Card
TX000221,EVT0001,3/1/25 20:17,BTH013,Sliders,Food,14,1,Card
TX000092,EVT0001,3/1/25 20:18,BTH005,Soft Drink,Drink,4,2,Card
TX000179,EVT0001,3/1/25 20:20,BTH005,Hard Seltzer,Alcohol,8,1,Cash
TX000163,EVT0001,3/1/25 20:20,BTH007,Energy Drink,Drink,5,2,Card
TX000007,EVT0001,3/1/25 20:21,BTH007,Pretzel,Snack,7,1,Cash
TX000087,EVT0001,3/1/25 20:21,BTH005,Hard Seltzer,Alcohol,8,1,Cash
TX000111,EVT0001,3/1/25 20:21,BTH015,Beer - Lager,Alcohol,10,1,Card
TX000255,EVT0001,3/1/25 20:21,BTH012,Popcorn,Snack,6,1,Cash
TX000155,EVT0001,3/1/25 20:22,BTH004,Whiskey Shot,Alcohol,13,2,Cash
TX000218,EVT0001,3/1/25 20:22,BTH010,Beer - Lager,Alcohol,10,2,Card
TX000247,EVT0001,3/1/25 20:22,BTH011,Popcorn,Snack,6,1,Cash
TX000291,EVT0001,3/1/25 20:22,BTH002,Whiskey Shot,Alcohol,9,1,Card
TX000151,EVT0001,3/1/25 20:23,BTH009,Nachos,Snack,9,2,Card
TX000223,EVT0001,3/1/25 20:23,BTH006,Whiskey Shot,Alcohol,13,3,Card
TX000279,EVT0001,3/1/25 20:23,BTH011,Popcorn,Snack,6,2,Card
TX000157,EVT0001,3/1/25 20:24,BTH009,Popcorn,Snack,6,1,Cash
TX000204,EVT0001,3/1/25 20:24,BTH014,Popcorn,Snack,6,3,Card
TX000253,EVT0001,3/1/25 20:24,BTH002,Pretzel,Snack,7,2,Card
TX000244,EVT0001,3/1/25 20:25,BTH013,Energy Drink,Drink,5,2,Card
TX000110,EVT0001,3/1/25 20:27,BTH001,Soft Drink,Drink,4,1,Card
TX000181,EVT0001,3/1/25 20:27,BTH003,Whiskey Shot,Alcohol,9,3,Card
TX000192,EVT0001,3/1/25 20:27,BTH004,Energy Drink,Drink,5,1,Cash
TX000213,EVT0001,3/1/25 20:27,BTH010,Whiskey Shot,Alcohol,9,1,Card
TX000146,EVT0001,3/1/25 20:28,BTH007,Pretzel,Snack,7,2,Cash
TX000149,EVT0001,3/1/25 20:28,BTH012,Whiskey Shot,Alcohol,13,1,Card
TX000053,EVT0001,3/1/25 20:31,BTH015,Kombucha,Drink,6,1,Cash
TX000075,EVT0001,3/1/25 20:31,BTH001,Hard Seltzer,Alcohol,8,2,Card
TX000098,EVT0001,3/1/25 20:31,BTH002,Whiskey Shot,Alcohol,13,2,Card
TX000233,EVT0001,3/1/25 20:31,BTH005,Beer - Lager,Alcohol,10,1,Cash
TX000290,EVT0001,3/1/25 20:31,BTH003,Whiskey Shot,Alcohol,13,1,Cash
TX000048,EVT0001,3/1/25 20:32,BTH012,Beer - Lager,Alcohol,10,1,Card
TX000086,EVT0001,3/1/25 20:32,BTH004,Popcorn,Snack,6,1,Cash
TX000091,EVT0001,3/1/25 20:32,BTH009,Beer - Lager,Alcohol,10,1,Card
TX000133,EVT0001,3/1/25 20:32,BTH002,Beer - IPA,Alcohol,12,1,Cash
TX000271,EVT0001,3/1/25 20:32,BTH004,Beer - Lager,Alcohol,10,2,Card
TX000135,EVT0001,3/1/25 20:33,BTH002,Beer - IPA,Alcohol,12,1,Cash
TX000222,EVT0001,3/1/25 20:33,BTH009,Pretzel,Snack,7,1,Cash
TX000227,EVT0001,3/1/25 20:33,BTH011,Pretzel,Snack,7,2,Cash
TX000258,EVT0001,3/1/25 20:33,BTH005,Whiskey Shot,Alcohol,9,1,Card
TX000076,EVT0001,3/1/25 20:34,BTH006,Kombucha,Drink,6,2,Card
TX000080,EVT0001,3/1/25 20:34,BTH002,Whiskey Shot,Alcohol,9,1,Card
TX000162,EVT0001,3/1/25 20:34,BTH014,Sliders,Food,14,2,Card
TX000195,EVT0001,3/1/25 20:35,BTH003,Kombucha,Drink,6,3,Cash
TX000041,EVT0001,3/1/25 20:36,BTH005,Kombucha,Drink,6,1,Cash
TX000051,EVT0001,3/1/25 20:36,BTH011,Popcorn,Snack,6,2,Cash
TX000257,EVT0001,3/1/25 20:36,BTH004,Popcorn,Snack,6,1,Cash
TX000069,EVT0001,3/1/25 20:38,BTH004,Energy Drink,Drink,5,3,Cash
TX000023,EVT0001,3/1/25 20:39,BTH006,Whiskey Shot,Alcohol,13,2,Card
TX000118,EVT0001,3/1/25 20:39,BTH015,Soft Drink,Drink,4,2,Cash
TX000289,EVT0001,3/1/25 20:39,BTH002,Nachos,Snack,9,1,Card
TX000031,EVT0001,3/1/25 20:40,BTH006,Sliders,Food,14,3,Cash
TX000083,EVT0001,3/1/25 20:40,BTH010,Sliders,Food,14,1,Card
TX000095,EVT0001,3/1/25 20:40,BTH008,Whiskey Shot,Alcohol,9,3,Cash
TX000105,EVT0001,3/1/25 20:41,BTH002,Beer - IPA,Alcohol,12,2,Cash
TX000170,EVT0001,3/1/25 20:41,BTH008,Beer - Lager,Alcohol,10,1,Card
TX000235,EVT0001,3/1/25 20:41,BTH010,Sliders,Food,14,1,Cash
TX000042,EVT0001,3/1/25 20:42,BTH011,Whiskey Shot,Alcohol,13,1,Cash
TX000104,EVT0001,3/1/25 20:42,BTH008,Soft Drink,Drink,4,2,Cash
TX000114,EVT0001,3/1/25 20:42,BTH003,Nachos,Snack,9,1,Card
TX000228,EVT0001,3/1/25 20:42,BTH003,Kombucha,Drink,6,1,Cash
TX000034,EVT0001,3/1/25 20:43,BTH015,Hard Seltzer,Alcohol,8,2,Card
TX000252,EVT0001,3/1/25 20:43,BTH002,Hard Seltzer,Alcohol,8,1,Card
TX000238,EVT0001,3/1/25 20:44,BTH006,Hard Seltzer,Alcohol,8,1,Cash
TX000248,EVT0001,3/1/25 20:44,BTH009,Energy Drink,Drink,5,2,Cash
TX000094,EVT0001,3/1/25 20:45,BTH006,Hard Seltzer,Alcohol,8,3,Cash
TX000096,EVT0001,3/1/25 20:45,BTH013,Sliders,Food,14,3,Card
TX000237,EVT0001,3/1/25 20:45,BTH003,Pretzel,Snack,7,1,Cash
TX000024,EVT0001,3/1/25 20:46,BTH007,Popcorn,Snack,6,2,Card
TX000203,EVT0001,3/1/25 20:46,BTH005,Nachos,Snack,9,1,Cash
TX000229,EVT0001,3/1/25 20:46,BTH012,Whiskey Shot,Alcohol,9,1,Cash
TX000261,EVT0001,3/1/25 20:47,BTH005,Soft Drink,Drink,4,1,Card
TX000054,EVT0001,3/1/25 20:48,BTH013,Hard Seltzer,Alcohol,8,1,Cash
TX000056,EVT0001,3/1/25 20:48,BTH011,Beer - Lager,Alcohol,10,3,Cash
TX000182,EVT0001,3/1/25 20:48,BTH012,Nachos,Snack,9,1,Card
TX000256,EVT0001,3/1/25 20:48,BTH014,Beer - Lager,Alcohol,10,1,Card
TX000140,EVT0001,3/1/25 20:49,BTH009,Beer - IPA,Alcohol,12,1,Card
TX000194,EVT0001,3/1/25 20:49,BTH006,Nachos,Snack,9,1,Cash
TX000039,EVT0001,3/1/25 20:50,BTH014,Soft Drink,Drink,4,1,Cash
TX000249,EVT0001,3/1/25 20:50,BTH012,Nachos,Snack,9,1,Cash
TX000269,EVT0001,3/1/25 20:50,BTH011,Sliders,Food,14,2,Card
TX000011,EVT0001,3/1/25 20:51,BTH005,Whiskey Shot,Alcohol,9,1,Card
TX000040,EVT0001,3/1/25 20:51,BTH015,Hard Seltzer,Alcohol,8,1,Card
TX000131,EVT0001,3/1/25 20:51,BTH006,Popcorn,Snack,6,1,Cash
TX000115,EVT0001,3/1/25 20:52,BTH006,Popcorn,Snack,6,1,Card
TX000183,EVT0001,3/1/25 20:52,BTH004,Kombucha,Drink,6,3,Card
TX000209,EVT0001,3/1/25 20:52,BTH003,Sliders,Food,14,3,Card
TX000019,EVT0001,3/1/25 20:53,BTH007,Nachos,Snack,9,1,Cash
TX000121,EVT0001,3/1/25 20:54,BTH015,Whiskey Shot,Alcohol,9,1,Cash
TX000049,EVT0001,3/1/25 20:56,BTH002,Hard Seltzer,Alcohol,8,2,Card
TX000150,EVT0001,3/1/25 20:56,BTH010,Sliders,Food,14,1,Cash
TX000187,EVT0001,3/1/25 20:56,BTH015,Nachos,Snack,9,1,Card
TX000002,EVT0001,3/1/25 20:57,BTH012,Soft Drink,Drink,4,1,Card
TX000134,EVT0001,3/1/25 20:57,BTH010,Whiskey Shot,Alcohol,9,2,Cash
TX000148,EVT0001,3/1/25 20:57,BTH011,Nachos,Snack,9,2,Cash
TX000161,EVT0001,3/1/25 20:57,BTH004,Beer - IPA,Alcohol,12,2,Cash
TX000025,EVT0001,3/1/25 20:59,BTH001,Energy Drink,Drink,5,2,Cash
TX000175,EVT0001,3/1/25 20:59,BTH005,Energy Drink,Drink,5,1,Card
TX000284,EVT0001,3/1/25 20:59,BTH001,Popcorn,Snack,6,2,Card
TX000035,EVT0001,3/1/25 21:00,BTH012,Beer - Lager,Alcohol,10,1,Cash
TX000108,EVT0001,3/1/25 21:00,BTH005,Whiskey Shot,Alcohol,13,1,Card
TX000171,EVT0001,3/1/25 21:01,BTH011,Energy Drink,Drink,5,1,Cash
TX000268,EVT0001,3/1/25 21:01,BTH008,Nachos,Snack,9,1,Card
TX000225,EVT0001,3/1/25 21:03,BTH014,Beer - IPA,Alcohol,12,1,Cash
TX000137,EVT0001,3/1/25 21:04,BTH010,Nachos,Snack,9,2,Card
TX000043,EVT0001,3/1/25 21:06,BTH015,Energy Drink,Drink,5,1,Cash
TX000022,EVT0001,3/1/25 21:07,BTH015,BBQ Bites,Food,13,1,Cash
TX000282,EVT0001,3/1/25 21:10,BTH007,Beer - IPA,Alcohol,12,3,Cash
TX000032,EVT0001,3/1/25 21:11,BTH002,Beer - IPA,Alcohol,12,1,Cash
TX000205,EVT0001,3/1/25 21:12,BTH001,Energy Drink,Drink,5,1,Card
TX000274,EVT0001,3/1/25 21:12,BTH007,Soft Drink,Drink,4,1,Cash
TX000266,EVT0001,3/1/25 21:14,BTH001,Whiskey Shot,Alcohol,9,2,Cash
TX000064,EVT0001,3/1/25 21:15,BTH008,Popcorn,Snack,6,2,Card
TX000029,EVT0001,3/1/25 21:16,BTH006,Whiskey Shot,Alcohol,9,2,Card
TX000093,EVT0001,3/1/25 21:16,BTH015,Pretzel,Snack,7,3,Card
TX000210,EVT0001,3/1/25 21:16,BTH008,Whiskey Shot,Alcohol,9,1,Card
TX000226,EVT0001,3/1/25 21:16,BTH002,Energy Drink,Drink,5,1,Cash
TX000077,EVT0001,3/1/25 21:20,BTH010,Beer - IPA,Alcohol,12,2,Cash
TX000173,EVT0001,3/1/25 21:21,BTH008,Soft Drink,Drink,4,2,Card
TX000078,EVT0001,3/1/25 21:23,BTH015,Soft Drink,Drink,4,2,Card
TX000081,EVT0001,3/1/25 21:24,BTH014,BBQ Bites,Food,13,1,Card
TX000106,EVT0001,3/1/25 21:24,BTH001,Popcorn,Snack,6,2,Card
TX000174,EVT0001,3/1/25 21:24,BTH014,Kombucha,Drink,6,1,Cash
TX000288,EVT0001,3/1/25 21:24,BTH013,Popcorn,Snack,6,2,Card
TX000090,EVT0001,3/1/25 21:29,BTH008,Beer - IPA,Alcohol,12,2,Card
TX000280,EVT0001,3/1/25 21:30,BTH004,Whiskey Shot,Alcohol,9,3,Card
TX000017,EVT0001,3/1/25 21:34,BTH003,Beer - Lager,Alcohol,10,3,Card
TX000286,EVT0001,3/1/25 21:34,BTH014,Kombucha,Drink,6,1,Cash
TX000021,EVT0001,3/1/25 21:35,BTH012,BBQ Bites,Food,13,1,Card
TX000079,EVT0001,3/1/25 21:35,BTH009,Beer - IPA,Alcohol,12,2,Card
TX000154,EVT0001,3/1/25 21:36,BTH008,Energy Drink,Drink,5,1,Cash
TX000169,EVT0001,3/1/25 21:37,BTH009,Beer - IPA,Alcohol,12,1,Card
TX000050,EVT0001,3/1/25 21:38,BTH002,Pretzel,Snack,7,1,Card
TX000046,EVT0001,3/1/25 21:43,BTH009,Sliders,Food,14,1,Card
TX000143,EVT0001,3/1/25 21:43,BTH006,Sliders,Food,14,1,Card
TX000216,EVT0001,3/1/25 21:43,BTH011,Sliders,Food,14,1,Cash
TX000281,EVT0001,3/1/25 21:43,BTH002,Soft Drink,Drink,4,1,Card
TX000254,EVT0001,3/1/25 21:44,BTH004,Hard Seltzer,Alcohol,8,1,Cash
TX000158,EVT0001,3/1/25 21:48,BTH014,Beer - Lager,Alcohol,10,1,Card
TX000242,EVT0001,3/1/25 21:48,BTH009,Energy Drink,Drink,5,1,Card
TX000199,EVT0001,3/1/25 21:50,BTH014,Whiskey Shot,Alcohol,9,2,Cash
TX000176,EVT0001,3/1/25 21:53,BTH005,BBQ Bites,Food,13,2,Cash
TX000263,EVT0001,3/1/25 21:54,BTH014,Beer - Lager,Alcohol,10,1,Card
TX000164,EVT0001,3/1/25 21:56,BTH012,Kombucha,Drink,6,1,Cash
TX000190,EVT0001,3/1/25 21:56,BTH014,Nachos,Snack,9,3,Cash
TX000217,EVT0001,3/1/25 21:56,BTH012,Nachos,Snack,9,1,Card
TX000047,EVT0001,3/1/25 21:57,BTH004,Sliders,Food,14,1,Card
TX000100,EVT0001,3/1/25 21:57,BTH009,Kombucha,Drink,6,3,Card
TX000165,EVT0001,3/1/25 21:57,BTH007,Energy Drink,Drink,5,1,Card
TX000030,EVT0001,3/1/25 21:58,BTH013,Soft Drink,Drink,4,1,Card
TX000201,EVT0001,3/1/25 21:58,BTH006,Nachos,Snack,9,1,Card
TX000215,EVT0001,3/1/25 21:58,BTH001,Sliders,Food,14,1,Cash
TX000287,EVT0001,3/1/25 21:58,BTH011,Beer - Lager,Alcohol,10,2,Card
TX000066,EVT0001,3/1/25 21:59,BTH011,Beer - IPA,Alcohol,12,2,Card
TX000220,EVT0001,3/1/25 21:59,BTH010,BBQ Bites,Food,13,3,Card
TX000102,EVT0001,3/1/25 22:01,BTH006,Kombucha,Drink,6,1,Card
TX000036,EVT0001,3/1/25 22:02,BTH013,Beer - Lager,Alcohol,10,2,Card
TX000191,EVT0001,3/1/25 22:15,BTH012,Soft Drink,Drink,4,2,Card
TX000159,EVT0001,3/1/25 22:18,BTH005,BBQ Bites,Food,13,2,Card
TX000097,EVT0001,3/1/25 22:32,BTH014,BBQ Bites,Food,13,1,Cash
TX000186,EVT0001,3/1/25 22:36,BTH004,Beer - IPA,Alcohol,12,1,Cash
TX000208,EVT0001,3/1/25 22:37,BTH004,Hard Seltzer,Alcohol,8,3,Card
TX000116,EVT0001,3/1/25 22:38,BTH004,Pretzel,Snack,7,1,Card
TX000001,EVT0001,3/1/25 22:42,BTH010,Beer - Lager,Alcohol,10,2,Card
TX000005,EVT0001,3/1/25 22:43,BTH006,BBQ Bites,Food,13,3,Card
TX000243,EVT0001,3/1/25 22:46,BTH008,Kombucha,Drink,6,1,Cash
TX000152,EVT0001,3/1/25 22:47,BTH005,Popcorn,Snack,6,1,Card
TX000014,EVT0001,3/1/25 22:49,BTH007,Sliders,Food,14,1,Cash
TX000073,EVT0001,3/1/25 22:51,BTH012,Kombucha,Drink,6,1,Cash
TX000189,EVT0001,3/1/25 22:53,BTH006,Beer - IPA,Alcohol,12,1,Cash
TX000119,EVT0001,3/1/25 22:59,BTH012,Sliders,Food,14,2,Card
TX000292,EVT0002,3/1/25 19:46,BTH013,Whiskey Shot,Alcohol,9,1,Cash
TX000293,EVT0002,3/1/25 20:39,BTH012,Sliders,Food,14,1,Cash
TX000294,EVT0002,3/1/25 20:05,BTH002,Energy Drink,Drink,5,3,Cash
TX000295,EVT0002,3/1/25 20:07,BTH005,Kombucha,Drink,6,2,Cash
TX000296,EVT0002,3/1/25 19:46,BTH009,Popcorn,Snack,6,2,Cash
TX000297,EVT0002,3/1/25 20:38,BTH002,Energy Drink,Drink,5,1,Card
TX000298,EVT0002,3/1/25 22:56,BTH012,Nachos,Snack,9,1,Cash
TX000299,EVT0002,3/1/25 19:54,BTH005,Sliders,Food,14,1,Card
TX000300,EVT0002,3/1/25 19:01,BTH004,Beer - Lager,Alcohol,10,2,Card
TX000301,EVT0002,3/1/25 21:32,BTH014,BBQ Bites,Food,13,1,Cash
TX000302,EVT0002,3/1/25 20:46,BTH001,Sliders,Food,14,2,Card
TX000303,EVT0002,3/1/25 19:55,BTH009,Energy Drink,Drink,5,1,Cash
TX000304,EVT0002,3/1/25 20:28,BTH003,Popcorn,Snack,6,1,Cash
TX000305,EVT0002,3/1/25 20:01,BTH014,BBQ Bites,Food,13,1,Cash
TX000306,EVT0002,3/1/25 20:35,BTH008,Beer - Lager,Alcohol,10,1,Cash
TX000307,EVT0002,3/1/25 19:04,BTH006,Nachos,Snack,9,2,Cash
